Month,Title,Fecha,Column4,Employed,Trend,Serie sin tendencia,Estacionalidad,Residuo,Serie desestacionalizada,,,
,,,,,,,,,,,,
1990 ene.,Retail Trade,01/01/90,,13255.8,,,,,,,,
1990 feb.,Retail Trade,01/02/90,,12966.3,,,,,,,,
1990 mar.,Retail Trade,01/03/90,,12938.2,,,,,,,,
1990 abr.,Retail Trade,01/04/90,,13012.3,,,,,,,,
1990 may.,Retail Trade,01/05/90,,13108.3,,,,,,,,
1990 jun.,Retail Trade,01/06/90,,13182.8,,,,,,,,
1990 jul.,Retail Trade,01/07/90,,13170.1,,,,,,,,
1990 ago.,Retail Trade,01/08/90,,13159.5,,,,,,,,
1990 sep.,Retail Trade,01/09/90,,13113.4,,,,,,,,
1990 oct.,Retail Trade,01/10/90,,13185.2,,,,,,,,
1990 nov.,Retail Trade,01/11/90,,13461.9,,,,,,,,
1990 dic.,Retail Trade,01/12/90,,13673.1,,,,,,,,
1991 ene.,Retail Trade,01/01/91,,13068.3,,,,,,,,
1991 feb.,Retail Trade,01/02/91,,12744.2,,,,,,,,
1991 mar.,Retail Trade,01/03/91,3,12685,12977,-292,-225,-67,12910,,Column1,Column2
1991 abr.,Retail Trade,01/04/91,4,12687,12962,-275,-164,-111,12851,,1,-93.71890166
1991 may.,Retail Trade,01/05/91,5,12781,12956,-176,-72,-104,12852,,2,-268.0291188
1991 jun.,Retail Trade,01/06/91,6,12859,12952,-93,-2,-91,12861,,3,-225.3651478
1991 jul.,Retail Trade,01/07/91,7,12849,12944,-95,-10,-84,12859,,4,-163.7834975
1991 ago.,Retail Trade,01/08/91,8,12871,12936,-65,-11,-54,12882,,5,-71.58472906
1991 sep.,Retail Trade,01/09/91,9,12823,12935,-112,-101,-11,12924,,6,-1.549384236
1991 oct.,Retail Trade,01/10/91,10,12886,12943,-58,2,-60,12884,,7,-10.33180077
1991 nov.,Retail Trade,01/11/91,11,13151,12933,218,361,-143,12789,,8,-10.74112388
1991 dic.,Retail Trade,01/12/91,12,13391,12919,473,551,-78,12840,,9,-101.191954
1992 ene.,Retail Trade,01/01/92,1,12789,12900,-112,-94,-18,12882,,10,2.000510856
